*desc	statID	enabled	page	x	y	color	font	*pos (inverse)	end
item_goldbonus	79	1	1	25	415	8	6	20	0
item_magicbonus	80	1	1	25	430	8	6	21	0
item_addexperience	85	1	1	25	400	8	6	19	0
game_craftpoints	183	1	1	25	385		6	18	0
potion_stat_cap	185	1	1	25	355		6	16	0
potion_skill_cap	186	1	1	25	340		6	15	0
skill_more	479	1	1	25	370		6	17	0
damagepercent	25	1	1	25	325		6	14	0
item_maxhp_percent	76	1	1	25	280		6	11	0
item_maxmana_percent	77	1	1	25	265		6	10	0
item_fasterattackrate	93	1	1	25	250	5	6	9	0
item_fastermovevelocity	96	1	1	25	220	5	6	7	0
item_fastergethitrate	99	1	1	25	205	5	6	6	0
item_fasterblockrate	102	1	1	25	190	5	6	5	0
item_fastercastrate	105	1	1	25	235	5	6	8	0
manarecoverybonus	27	1	1	25	295		6	12	0
skill_armor_percent	171	1	1	25	310		6	13	0
item_strength_percent	359	1	1	25	175		6	4	0
item_dexterity_percent	360	1	1	25	160		6	3	0
item_energy_percent	361	1	1	25	145		6	2	0
item_vitality_percent	362	1	1	25	130		6	1	0
passive_fire_mastery	329	1	2	25	250	1	6	9	0
passive_ltng_mastery	330	1	2	25	220	9	6	7	0
passive_cold_mastery	331	1	2	25	190	3	6	5	0
passive_pois_mastery	332	1	2	25	160	2	6	3	0
passive_fire_pierce	333	1	2	25	235	1	6	8	0
passive_ltng_pierce	334	1	2	25	205	9	6	6	0
passive_cold_pierce	335	1	2	25	175	3	6	4	0
passive_pois_pierce	336	1	2	25	145	2	6	2	0
item_crushingblow	136	1	2	25	400		6	19	0
item_deadlystrike	141	1	2	25	385		6	18	0
skill_concentration	164	1	2	25	430		6	21	0
item_openwounds	135	1	2	25	370		6	17	0
passive_pm_mastery	377	1	2	25	265		6	10	0
skill_poison_dur	431	1	2	25	130	2	6	1	0
enr_factor	485	1	2	25	295		6	12	0
enr_factor_percent	488	1	2	25	280		6	11	0
item_demondamage_percent	121	1	2	25	325		6	14	0
item_undeaddamage_percent	122	1	2	25	310		6	13	0
item_howl	112	1	2	25	340		6	15	0
item_fractionaltargetac	116	1	2	25	355		6	16	0
item_tohit_percent	119	1	2	25	415		6	20	0
damageresist	36	1	3	25	385		6	18	0
magicresist	37	1	3	25	370		6	17	0
fireresist	39	1	3	25	355	1	6	16	0
maxfireresist	40	1	3	25	340	1	6	15	0
lightresist	41	1	3	25	310	9	6	13	0
maxlightresist	42	1	3	25	295	9	6	12	0
coldresist	43	1	3	25	265	3	6	10	0
maxcoldresist	44	1	3	25	250	3	6	9	0
poisonresist	45	1	3	25	220	2	6	7	0
maxpoisonresist	46	1	3	25	205	2	6	6	0
item_absorbfire_percent	142	1	3	25	325	1	6	14	0
item_absorblight_percent	144	1	3	25	280	9	6	11	0
item_absorbcold_percent	148	1	3	25	235	3	6	8	0
normal_damage_reduction	34	1	3	25	415		6	20	0
magic_damage_reduction	35	1	3	25	400		6	19	0
passive_avoid	339	1	3	25	430		6	21	0
hpregen	74	1	3	25	175		6	4	0
item_damagetomana	114	1	3	25	145		6	2	0
item_poisonlengthresist	110	1	3	25	190	2	6	5	0
item_howlthorns	364	1	3	25	130		6	1	0
item_healwhenstruck	439	1	3	25	160		6	3	0
item_healonstriking	208	1	4	25	370		6	17	0
item_manaonstriking	209	1	4	25	310		6	13	0
skill_healonstrikingmelee	210	1	4	25	355		6	16	0
item_manaonstrikingmelee	295	1	4	25	295		6	12	0
item_lightradius	89	1	4	25	385		6	18	0
item_reducedprices	87	1	4	25	130		6	1	0
thorns_percent	131	1	4	25	145		6	2	0
item_healafterkill	86	1	4	25	340		6	15	0
item_manaafterkill	138	1	4	25	280		6	11	0
skill_minion_hp_percent	444	1	4	25	205		6	6	0
skill_minion_dmg_percent	470	1	4	25	190		6	5	0
minion_resist_all	487	1	4	25	160		6	3	0
item_minion_attack	500	1	4	25	175		6	4	0
item_attackertakesdamage	78	1	4	25	220		6	7	0
profession_duration_mod	409	1	4	25	250		6	9	0
item_targettakesdamage	489	1	4	25	235		6	8	0
lifedrainmindam	60	1	4	25	325		6	14	0
manadrainmindam	62	1	4	25	265		6	10	0
item_slow	150	1	4	25	430		6	21	0
item_slowthorns	363	1	4	25	400		6	19	0
item_slow_offweapon	376	1	4	25	415		6	20	0
burningmin	316	1	1	125	445	4	6		0
burningmax	317	1	2	123	445	4	6		0
progressive_damage	318	1	3	123	445	4	6		0
progressive_steal	319	1	4	125	445	4	6		0
